Date,adjusted_seroprevalence_NorthEastAndYorkshireAndHumber,sero_lower_NorthEastAndYorkshireAndHumber,sero_upper_NorthEastAndYorkshireAndHumber,newCasesBySpecimenDateNorthEast,newDailyNsoDeathsByDeathDateNorthEast,uniqueCasePositivityBySpecimenDateRollingSumNorthEast,uniquePeopleTestedBySpecimenDateRollingSumNorthEast,newCasesBySpecimenDateYorkshireAndHumber,uniqueCasePositivityBySpecimenDateRollingSumYorkshireAndHumber,uniquePeopleTestedBySpecimenDateRollingSumYorkshireAndHumber,newDailyNsoDeathsByDeathDateYorkshireAndHumber,newAdmissionsHospitalNorthEastAndYorkshire,hospitalCasesNorthEastAndYorkshire
2020/1/1,,,,,,,,,,,,,
2020/1/2,,,,,,,,,,,,,
2020/1/3,,,,,,,,,,,,,
2020/1/4,,,,,,,,,,,,,
2020/1/5,,,,,,,,,,,,,
2020/1/6,,,,,,,,,,,,,
2020/1/7,,,,,,,,,,,,,
2020/1/8,,,,,,,,,,,,,
2020/1/9,,,,,,,,,,,,,
2020/1/10,,,,,,,,,,,,,
2020/1/11,,,,,,,,,,,,,
2020/1/12,,,,,,,,,,,,,
2020/1/13,,,,,,,,,,,,,
2020/1/14,,,,,,,,,,,,,
2020/1/15,,,,,,,,,,,,,
2020/1/16,,,,,,,,,,,,,
2020/1/17,,,,,,,,,,,,,
2020/1/18,,,,,,,,,,,,,
2020/1/19,,,,,,,,,,,,,
2020/1/20,,,,,,,,,,,,,
2020/1/21,,,,,,,,,,,,,
2020/1/22,,,,,,,,,,,,,
2020/1/23,,,,,,,,,,,,,
2020/1/24,,,,,,,,,,,,,
2020/1/25,,,,,,,,,,,,,
2020/1/26,,,,,,,,,,,,,
2020/1/27,,,,,,,,,,,,,
2020/1/28,,,,,,,,,,,,,
2020/1/29,,,,,,,,,,,,,
2020/1/30,,,,,0,,,1,,,0,,
2020/1/31,,,,,0,,,0,,,0,,
2020/2/1,,,,,0,,,0,,,0,,
2020/2/2,,,,,0,,,0,,,0,,
2020/2/3,,,,,0,,,0,,,0,,
2020/2/4,,,,,0,,,0,,,0,,
2020/2/5,,,,,0,,,0,,,0,,
2020/2/6,,,,,0,,,0,,,0,,
2020/2/7,,,,,0,,,0,,,0,,
2020/2/8,,,,,0,0,11,0,6.7,15,0,,
2020/2/9,,,,,0,0,13,0,6.7,15,0,,
2020/2/10,,,,,0,0,28,0,0,29,0,,
2020/2/11,,,,,0,0,41,0,0,64,0,,
2020/2/12,,,,,0,0,73,0,0,83,0,,
2020/2/13,,,,,0,0,89,0,0,103,0,,
2020/2/14,,,,,0,0,99,0,0,110,0,,
2020/2/15,,,,,0,0,102,0,0,120,0,,
2020/2/16,,,,,0,0,101,0,0,117,0,,
2020/2/17,,,,,0,0,90,0,0,110,0,,
2020/2/18,,,,,0,0,67,0,0,84,0,,
2020/2/19,,,,,0,0,57,0,0,81,0,,
2020/2/20,,,,,0,0,43,0,0,107,0,,
2020/2/21,,,,,0,0,45,0,0,110,0,,
2020/2/22,,,,,0,0,43,0,0,113,0,,
2020/2/23,,,,,0,0,42,0,0,116,0,,
2020/2/24,,,,,0,0,36,0,0,113,0,,
2020/2/25,,,,,0,0,39,0,0,126,0,,
2020/2/26,,,,,0,0,76,0,0,187,0,,
2020/2/27,,,,,0,0,142,1,0.4,232,0,,
2020/2/28,,,,,0,0,197,2,0.8,372,0,,
2020/2/29,,,,,0,0,221,0,0.7,413,0,,
2020/3/1,,,,,0,0,234,2,1.1,451,0,,
2020/3/2,,,,1,0,0,256,3,1.7,524,0,,
2020/3/3,,,,0,0,0.3,291,5,2.2,550,0,,
2020/3/4,,,,1,0,0.7,297,2,2.5,551,0,,
2020/3/5,,,,2,0,0.7,273,1,3.1,516,0,,
2020/3/6,,,,1,0,1.6,246,1,4,425,0,,
2020/3/7,,,,2,0,2.1,241,5,4.4,434,0,,
2020/3/8,,,,0,0,2.5,238,3,4.4,430,0,,
2020/3/9,,,,3,0,3.1,254,8,5.6,392,0,,
2020/3/10,,,,4,0,5,261,18,7.5,412,0,,
2020/3/11,,,,1,0,4.6,306,10,6.7,563,0,,
2020/3/12,,,,2,0,3.9,409,14,7.4,741,0,,
2020/3/13,,,,6,0,3.5,547,12,6.6,943,0,,
2020/3/14,,,,6,0,3.7,625,12,5.5,1245,0,,
2020/3/15,,,,10,1,4.1,774,9,5,1452,2,,
2020/3/16,,,,7,0,4.1,927,28,4.8,1723,2,,
2020/3/17,,,,16,0,4.3,1125,31,4.4,2046,2,,
2020/3/18,,,,14,0,4.3,1336,47,5.4,2195,2,,
2020/3/19,,,,19,0,5,1504,55,5.6,2424,1,48,
2020/3/20,,,,26,3,5.8,1683,60,6.9,2618,2,43,82
2020/3/21,,,,23,3,6.4,1822,77,8.6,2782,2,73,124
2020/3/22,,,,20,6,7,1859,94,9.7,2960,2,69,158
2020/3/23,,,,58,4,8.7,2069,144,11.6,3189,6,107,190
2020/3/24,,,,76,2,10.5,2321,157,14.1,3399,7,167,229
2020/3/25,,,,76,6,12.5,2447,151,16.4,3661,8,160,312
2020/3/26,,,,97,8,15.2,2515,178,19,3991,16,196,434
2020/3/27,,,,102,13,17.6,2608,153,20.8,4261,20,240,552
2020/3/28,,,,113,11,19.9,2750,206,22.1,4510,25,258,701
2020/3/29,,,,107,9,21.4,2963,228,23.6,4709,32,254,826
2020/3/30,,,,176,36,23.6,3181,285,26.2,4910,32,340,995
2020/3/31,,,,211,30,26.8,3289,319,27.7,5084,42,303,1124
2020/4/1,,,,307,36,29.6,3747,316,29.9,5214,42,507,1293
2020/4/2,,,,219,41,31,3995,243,31,5471,55,423,1378
2020/4/3,,,,260,56,32.7,4269,274,32.3,5731,65,373,1841
2020/4/4,,,,254,47,33.6,4587,202,33.1,5728,75,294,2095
2020/4/5,,,,222,51,34.8,4762,216,33.5,5803,68,365,2303
2020/4/6,,,,375,58,36.5,5112,321,34.8,5770,72,404,2129
2020/4/7,,,,350,54,37.3,5479,337,36.6,5793,83,446,2209
2020/4/8,,,,289,59,37.8,5250,318,37,5808,102,327,2413
2020/4/9,,,,314,63,37.3,5583,304,36.2,5849,100,336,2661
2020/4/10,,,,245,79,37.2,5568,299,35.7,5840,103,319,2403
2020/4/11,,,,266,73,37.4,5563,260,35.2,6004,77,290,2520
2020/4/12,,,,201,63,36.8,5618,268,35.1,6209,91,309,2541
2020/4/13,,,,232,51,35.8,5400,326,34.4,6117,86,305,2577
2020/4/14,,,,256,67,34.8,5345,314,32.9,6075,93,306,2545
2020/4/15,,,,282,46,32.9,5600,474,32.6,6321,109,254,2500
2020/4/16,,,,293,47,32.3,5512,373,31.5,6682,121,275,2454
2020/4/17,,,,292,59,31.7,5666,351,30.9,7098,116,236,2303
2020/4/18,,,,374,69,31,5956,365,30,7503,95,231,2327
2020/4/19,0.042,0.03,0.062,274,58,30.6,6041,417,29.2,7843,101,267,2309
2020/4/20,,,,312,52,30,6367,400,28.9,8324,101,278,2216
2020/4/21,,,,287,49,29.4,6564,349,28.1,8721,98,253,2322
2020/4/22,,,,361,53,29,6889,563,27.2,9539,108,247,2236
2020/4/23,,,,332,50,28.7,7103,450,26.8,10165,92,227,2186
2020/4/24,,,,332,37,26.4,7867,591,26.7,10909,98,223,2132
2020/4/25,,,,214,62,25.6,7623,414,25.8,11263,79,198,2123
2020/4/26,,,,159,48,24.3,7701,423,24.9,11485,81,249,2061
2020/4/27,,,,280,39,22.2,8471,510,22.7,13348,91,259,2104
