Date,adjusted_seroprevalence,sero_lower,sero_upper,newCasesBySpecimenDate,newAdmissionsHospital,newDailyNsoDeathsByDeathDate,hospitalCases,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
2020/1/1,,,,,,,,,
2020/1/2,,,,,,,,,
2020/1/3,,,,,,,,,
2020/1/4,,,,,,,,,
2020/1/5,,,,,,,,,
2020/1/6,,,,,,,,,
2020/1/7,,,,,,,,,
2020/1/8,,,,,,,,,
2020/1/9,,,,,,,,,
2020/1/10,,,,,,,,,
2020/1/11,,,,,,,,,
2020/1/12,,,,,,,,,
2020/1/13,,,,,,,,,
2020/1/14,,,,,,,,,
2020/1/15,,,,,,,,,
2020/1/16,,,,,,,,,
2020/1/17,,,,,,,,,
2020/1/18,,,,,,,,,
2020/1/19,,,,,,,,,
2020/1/20,,,,,,,,,
2020/1/21,,,,,,,,,
2020/1/22,,,,,,,,,
2020/1/23,,,,,,,,,
2020/1/24,,,,,,,,,
2020/1/25,,,,,,,,,
2020/1/26,,,,,,,,,
2020/1/27,,,,,,,,,
2020/1/28,,,,,,,,,
2020/1/29,,,,,,,,,
2020/1/30,,,,,,0,,,
2020/1/31,,,,,,0,,,
2020/2/1,,,,,,0,,,
2020/2/2,,,,,,0,,,
2020/2/3,,,,,,0,,,
2020/2/4,,,,,,0,,,
2020/2/5,,,,,,0,,,
2020/2/6,,,,,,0,,,
2020/2/7,,,,,,0,,,
2020/2/8,,,,,,0,,4.3,23
2020/2/9,,,,,,0,,0,36
2020/2/10,,,,,,0,,0,68
2020/2/11,,,,,,0,,0,132
2020/2/12,,,,,,0,,0,216
2020/2/13,,,,,,0,,0,264
2020/2/14,,,,,,0,,0,282
2020/2/15,,,,,,0,,0,283
2020/2/16,,,,,,0,,0,272
2020/2/17,,,,,,0,,0,261
2020/2/18,,,,,,0,,0,202
2020/2/19,,,,,,0,,0,171
2020/2/20,,,,,,0,,0,145
2020/2/21,,,,,,0,,0,137
2020/2/22,,,,,,0,,0,148
2020/2/23,,,,,,0,,0,159
2020/2/24,,,,,,0,,0,167
2020/2/25,,,,,,0,,0,199
2020/2/26,,,,,,0,,0,272
2020/2/27,,,,,,0,,0,372
2020/2/28,,,,1,,0,,0.4,473
2020/2/29,,,,0,,0,,0.3,581
2020/3/1,,,,7,,0,,1.1,652
2020/3/2,,,,6,,0,,1.7,709
2020/3/3,,,,7,,0,,2.5,775
2020/3/4,,,,2,,0,,2.7,789
2020/3/5,,,,10,,0,,3.9,747
2020/3/6,,,,2,,0,,4.2,743
2020/3/7,,,,9,,0,,5.5,726
2020/3/8,,,,5,,1,,6.3,742
2020/3/9,,,,7,,0,,6.9,757
2020/3/10,,,,15,,0,,7.6,851
2020/3/11,,,,17,,1,,7.1,1058
2020/3/12,,,,40,,0,,8,1381
2020/3/13,,,,43,,3,,9,1685
2020/3/14,,,,25,,3,,9,1848
2020/3/15,,,,24,,4,,8.8,1989
2020/3/16,,,,56,,2,,9.7,2317
2020/3/17,,,,55,,6,,10.4,2460
2020/3/18,,,,84,,6,,11.4,2573
2020/3/19,,,,98,47,9,,12.5,2666
2020/3/20,,,,83,56,8,130,13.4,2730
2020/3/21,,,,115,71,13,162,15.7,2895
2020/3/22,,,,117,83,17,190,17.9,3073
2020/3/23,,,,175,86,20,237,19.5,3341
2020/3/24,,,,255,122,22,251,22.7,3760
2020/3/25,,,,255,187,22,332,25.9,4059
2020/3/26,,,,357,184,34,381,29.7,4495
2020/3/27,,,,333,219,43,553,31.9,4975
2020/3/28,,,,322,210,43,665,33.8,5357
2020/3/29,,,,359,198,62,819,35.7,5753
2020/3/30,,,,507,420,80,982,38.9,6198
2020/3/31,,,,553,342,81,1143,40.7,6667
2020/4/1,,,,619,466,117,1451,42.3,7329
2020/4/2,,,,679,434,134,1530,43.5,7895
2020/4/3,,,,682,446,132,1714,44.9,8482
2020/4/4,,,,597,398,124,2134,46.2,8863
2020/4/5,,,,625,379,156,2288,47.2,9275
2020/4/6,,,,871,392,141,2529,47.8,10009
2020/4/7,,,,790,375,191,2620,47.9,10478
2020/4/8,,,,851,410,177,2576,47.7,11113
2020/4/9,,,,805,477,164,2754,47.3,11451
2020/4/10,,,,602,352,167,2901,47,11522
2020/4/11,,,,610,313,197,3008,46,11567
2020/4/12,,,,489,294,206,3014,44.8,11645
2020/4/13,,,,609,304,188,3065,43.9,11398
2020/4/14,,,,634,269,195,3026,42.6,11330
2020/4/15,,,,694,247,190,2861,40.6,11343
2020/4/16,,,,779,254,214,2965,39,11400
2020/4/17,,,,580,273,160,2599,37.4,11921
2020/4/18,,,,867,206,200,2833,36,12597
2020/4/19,0.06,0.042,0.082,613,214,130,2836,35.2,12938
2020/4/20,,,,676,226,156,2810,34.4,13273
2020/4/21,,,,701,260,139,2718,33.3,13834
2020/4/22,,,,920,214,173,2621,31.4,15489
2020/4/23,,,,864,182,155,2573,29.2,17144
2020/4/24,,,,754,211,153,2490,26.9,19073
2020/4/25,,,,553,202,120,2437,25.6,19036
2020/4/26,,,,429,181,116,2429,24.5,19369
2020/4/27,,,,622,223,120,2456,21.9,21968
2020/4/28,,,,712,194,113,2298,19.2,25660
2020/4/29,,,,795,227,119,2350,15.9,30805
2020/4/30,,,,773,214,111,2309,13.4,36469
2020/5/1,,,,726,181,96,2282,11.5,43208
2020/5/2,,,,414,186,99,2327,10.8,45981
2020/5/3,,,,492,194,100,2196,10.1,51009
2020/5/4,,,,425,189,97,2236,9.5,51654
2020/5/5,,,,576,201,89,2192,9,53071
2020/5/6,,,,587,158,92,2075,8.6,52908
2020/5/7,,,,510,182,97,1947,8.2,52319
2020/5/8,,,,484,169,92,1925,8.2,49433
2020/5/9,,,,345,167,67,1918,8.1,49668
2020/5/10,0.108,0.085,0.135,346,156,91,1826,8,48646
2020/5/11,,,,531,203,64,1907,7.8,52485
2020/5/12,,,,547,186,72,1826,7.4,55116
2020/5/13,,,,527,186,58,1800,7.1,56690
2020/5/14,,,,429,164,56,1739,6.9,57708
2020/5/15,,,,394,153,72,1716,6.5,60501
2020/5/16,,,,407,178,62,1655,6.3,63482
2020/5/17,,,,301,169,45,1667,6.1,63868
2020/5/18,,,,411,171,50,1670,5.9,64140
2020/5/19,,,,584,173,64,1707,5.9,64988
2020/5/20,,,,497,151,52,1647,5.8,65916
2020/5/21,,,,428,165,55,1590,5.8,66890
2020/5/22,,,,376,160,38,1566,5.8,66300
2020/5/23,,,,290,125,50,1537,5.7,65879
2020/5/24,,,,263,128,44,1509,5.6,65676
2020/5/25,,,,269,121,43,1519,5.6,62897
2020/5/26,,,,309,112,42,1515,5.4,60561
2020/5/27,,,,295,148,41,1432,5.1,60261
2020/5/28,,,,324,145,47,1377,5,60675
2020/5/29,,,,303,121,35,1344,4.8,60495
2020/5/30,,,,217,97,32,1313,4.8,58850
2020/5/31,,,,234,126,25,1309,4.8,58604
2020/6/1,,,,262,149,30,1309,4.6,61007
2020/6/2,,,,287,121,35,1301,4.5,61850
2020/6/3,,,,256,122,37,1276,4.4,61107
2020/6/4,,,,240,124,33,1217,4.2,60135
2020/6/5,,,,205,75,30,1194,4.1,60071
2020/6/6,,,,131,56,31,1120,3.8,60908
2020/6/7,0.09,0.07,0.115,128,66,29,1076,3.6,60400
2020/6/8,,,,165,68,33,1075,3.5,60537
2020/6/9,,,,217,98,19,1038,3.3,60923
2020/6/10,,,,225,113,30,939,3.2,61249
2020/6/11,,,,177,101,22,936,3.1,60420
