Date,adjusted_seroprevalence,sero_lower,sero_upper,newAdmissionsHospital,hospitalCases,newCasesBySpecimenDate,newDailyNsoDeathsByDeathDate,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
2020/1/1,,,,,,,,,
2020/1/2,,,,,,,,,
2020/1/3,,,,,,,,,
2020/1/4,,,,,,,,,
2020/1/5,,,,,,,,,
2020/1/6,,,,,,,,,
2020/1/7,,,,,,,,,
2020/1/8,,,,,,,,,
2020/1/9,,,,,,,,,
2020/1/10,,,,,,,,,
2020/1/11,,,,,,,,,
2020/1/12,,,,,,,,,
2020/1/13,,,,,,,,,
2020/1/14,,,,,,,,,
2020/1/15,,,,,,,,,
2020/1/16,,,,,,,,,
2020/1/17,,,,,,,,,
2020/1/18,,,,,,,,,
2020/1/19,,,,,,,,,
2020/1/20,,,,,,,,,
2020/1/21,,,,,,,,,
2020/1/22,,,,,,,,,
2020/1/23,,,,,,,,,
2020/1/24,,,,,,,,,
2020/1/25,,,,,,,,,
2020/1/26,,,,,,,,,
2020/1/27,,,,,,,,,
2020/1/28,,,,,,,,,
2020/1/29,,,,,,,,,
2020/1/30,,,,,,,1,,
2020/1/31,,,,,,,0,,
2020/2/1,,,,,,,0,,
2020/2/2,,,,,,,0,,
2020/2/3,,,,,,,0,,
2020/2/4,,,,,,,0,,
2020/2/5,,,,,,1,0,,
2020/2/6,,,,,,0,0,,
2020/2/7,,,,,,0,0,,
2020/2/8,,,,,,4,0,2.2,46
2020/2/9,,,,,,1,0,2.5,81
2020/2/10,,,,,,0,0,2.5,122
2020/2/11,,,,,,0,0,1.9,159
2020/2/12,,,,,,0,0,1,210
2020/2/13,,,,,,0,0,0.7,269
2020/2/14,,,,,,0,0,0.5,367
2020/2/15,,,,,,0,0,0.2,431
2020/2/16,,,,,,0,0,0,416
2020/2/17,,,,,,0,0,0,403
2020/2/18,,,,,,0,0,0,376
2020/2/19,,,,,,0,0,0,352
2020/2/20,,,,,,0,0,0,296
2020/2/21,,,,,,0,0,0,220
2020/2/22,,,,,,0,0,0,209
2020/2/23,,,,,,1,0,0.5,214
2020/2/24,,,,,,1,0,0.4,231
2020/2/25,,,,,,1,0,1.1,261
2020/2/26,,,,,,0,0,0.9,351
2020/2/27,,,,,,2,0,1.5,403
2020/2/28,,,,,,2,0,2.2,459
2020/2/29,,,,,,2,0,1.7,595
2020/3/1,,,,,,0,0,1.5,652
2020/3/2,,,,,,1,0,1.5,740
2020/3/3,,,,,,9,0,2.1,856
2020/3/4,,,,,,7,0,2.9,871
2020/3/5,,,,,,5,2,2.9,997
2020/3/6,,,,,,16,0,4.3,1036
2020/3/7,,,,,,4,0,5.2,962
2020/3/8,,,,,,10,0,5.7,1011
2020/3/9,,,,,,24,1,7.5,1048
2020/3/10,,,,,,36,0,9.1,1147
2020/3/11,,,,,,50,0,10.4,1417
2020/3/12,,,,,,86,0,13.7,1644
2020/3/13,,,,,,54,2,15,1791
2020/3/14,,,,,,41,3,15,1966
2020/3/15,,,,,,53,7,15.2,2232
2020/3/16,,,,,,78,9,15.4,2550
2020/3/17,,,,,,89,7,16.3,2756
2020/3/18,,,,,,122,13,18.4,2862
2020/3/19,,,,103,,127,9,18.8,3044
2020/3/20,,,,90,188,128,16,19.5,3308
2020/3/21,,,,91,332,128,15,20.8,3521
2020/3/22,,,,94,439,170,31,23,3671
2020/3/23,,,,114,480,282,27,25.8,4034
2020/3/24,,,,123,506,238,31,27.5,4341
2020/3/25,,,,141,610,307,39,29.7,4527
2020/3/26,,,,138,654,320,48,31.9,4855
2020/3/27,,,,230,800,330,53,33.7,5159
2020/3/28,,,,250,861,340,47,35.7,5513
2020/3/29,,,,273,1076,295,65,36.2,5838
2020/3/30,,,,317,1284,478,85,37.7,6194
2020/3/31,,,,295,1535,469,86,39.2,6611
2020/4/1,,,,304,1461,547,96,39.6,7163
2020/4/2,,,,322,1715,485,103,39,7674
2020/4/3,,,,332,1683,518,106,38.5,8202
2020/4/4,,,,348,1848,454,145,38.1,8620
2020/4/5,,,,277,2037,424,135,38.2,8935
2020/4/6,,,,326,2055,593,140,37.7,9273
2020/4/7,,,,353,2280,716,154,38.4,9724
2020/4/8,,,,249,2290,564,162,37.8,10017
2020/4/9,,,,286,2174,522,194,37.3,10157
2020/4/10,,,,269,2297,575,174,37.3,10359
2020/4/11,,,,235,2285,382,171,36.7,10397
2020/4/12,,,,228,2342,483,165,36.1,10650
2020/4/13,,,,227,2346,578,159,35.6,10673
2020/4/14,,,,185,2347,554,150,34.3,10564
2020/4/15,,,,228,2262,714,158,34,11053
2020/4/16,,,,326,2245,656,177,33.1,11772
2020/4/17,,,,260,2205,706,158,31.6,12732
2020/4/18,,,,180,2250,519,136,30.7,13336
2020/4/19,,,,199,2278,415,165,29.7,13464
2020/4/20,,,,227,2261,490,182,28,14087
2020/4/21,,,,198,2185,631,148,26.7,15201
2020/4/22,,,,202,2164,694,149,25,16392
2020/4/23,,,,181,2034,680,153,23.3,17661
2020/4/24,,,,235,1909,657,153,21.4,18961
2020/4/25,,,,168,1849,515,145,20.3,19723
309,,,,182,1775,501,121,19,20995
2020/4/27,,,,199,1831,554,108,16.9,24067
2020/4/28,,,,153,1791,660,107,14.6,28410
2020/4/29,,,,196,1657,688,117,12,34966
2020/4/30,,,,164,1655,650,87,9.6,43829
2020/5/1,,,,154,1648,523,118,8.3,49750
2020/5/2,,,,142,1544,417,84,7.5,55268
2020/5/3,0.05,0.032,0.07,137,1523,362,71,7.1,58676
2020/5/4,,,,121,1553,488,81,6.8,60059
2020/5/5,,,,111,1499,474,81,6.3,61494
2020/5/6,,,,127,1421,446,71,5.9,62184
2020/5/7,,,,107,1351,419,71,5.6,60784
2020/5/8,,,,91,1279,352,77,5.5,59755
2020/5/9,,,,96,1206,247,91,5.4,57867
2020/5/10,,,,139,1181,308,60,5.3,58492
2020/5/11,,,,113,1196,476,59,5.1,62562
2020/5/12,,,,109,1168,410,67,4.8,65710
2020/5/13,,,,99,1126,484,65,4.8,67812
2020/5/14,,,,113,1092,296,65,4.7,67466
2020/5/15,,,,85,1073,262,66,4.5,68398
2020/5/16,,,,71,982,191,52,4.3,70332
2020/5/17,,,,94,966,221,53,4.2,70871
2020/5/18,,,,104,959,359,56,3.9,71469
2020/5/19,,,,96,940,386,47,3.8,72988
2020/5/20,,,,107,903,340,52,3.6,73223
2020/5/21,,,,88,907,303,31,3.5,75390
2020/5/22,,,,78,924,247,48,3.4,76366
2020/5/23,,,,59,851,121,41,3.4,75168
2020/5/24,,,,78,880,150,36,3.3,74427
2020/5/25,,,,82,826,187,28,3.3,69701
2020/5/26,,,,74,851,183,41,3.2,65847
2020/5/27,,,,72,821,202,35,3.1,63979
2020/5/28,,,,79,765,202,33,3,62553
2020/5/29,,,,65,753,163,39,2.9,62945
2020/5/30,,,,74,694,132,28,2.9,63750
2020/5/31,0.042,0.03,0.07,46,700,134,24,2.8,63972
2020/6/1,,,,56,720,184,27,2.6,69205
2020/6/2,,,,83,701,218,30,2.5,73556
2020/6/3,,,,57,689,136,26,2.3,76402
2020/6/4,,,,56,671,158,29,2.2,78668
2020/6/5,,,,42,648,142,27,2.1,80409
2020/6/6,,,,49,634,85,16,1.9,81337
2020/6/7,,,,43,604,61,20,1.8,81253
2020/6/8,,,,38,605,124,16,1.7,81569
2020/6/9,,,,39,574,114,23,1.6,81472
2020/6/10,,,,23,556,125,23,1.5,80689
