Date,adjusted_seroprevalence,sero_lower,sero_upper,newCasesBySpecimenDate,newAdmissionsHospital,newDailyNsoDeathsByDeathDate,hospitalCases,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
2020/1/1,,,,,,,,,
2020/1/2,,,,,,,,,
2020/1/3,,,,,,,,,
2020/1/4,,,,,,,,,
2020/1/5,,,,,,,,,
2020/1/6,,,,,,,,,
2020/1/7,,,,,,,,,
2020/1/8,,,,,,,,,
2020/1/9,,,,,,,,,
2020/1/10,,,,,,,,,
2020/1/11,,,,,,,,,
2020/1/12,,,,,,,,,
2020/1/13,,,,,,,,,
2020/1/14,,,,,,,,,
2020/1/15,,,,,,,,,
2020/1/16,,,,,,,,,
2020/1/17,,,,,,,,,
2020/1/18,,,,,,,,,
2020/1/19,,,,,,,,,
2020/1/20,,,,,,,,,
2020/1/21,,,,,,,,,
2020/1/22,,,,,,,,,
2020/1/23,,,,,,,,,
2020/1/24,,,,,,,,,
2020/1/25,,,,,,,,,
2020/1/26,,,,,,,,,
2020/1/27,,,,,,,,,
2020/1/28,,,,,,,,,
2020/1/29,,,,,,,,,
2020/1/30,,,,,,0,,,
2020/1/31,,,,,,0,,,
2020/2/1,,,,,,0,,,
2020/2/2,,,,,,0,,,
2020/2/3,,,,,,0,,,
2020/2/4,,,,,,0,,,
2020/2/5,,,,,,0,,,
2020/2/6,,,,,,0,,,
2020/2/7,,,,,,0,,,
2020/2/8,,,,,,0,,0,17
2020/2/9,,,,,,0,,0,47
2020/2/10,,,,,,0,,0,75
2020/2/11,,,,,,0,,0,102
2020/2/12,,,,,,0,,0,123
2020/2/13,,,,,,0,,0,140
2020/2/14,,,,,,0,,0,163
2020/2/15,,,,,,0,,0,137
2020/2/16,,,,,,0,,0,126
2020/2/17,,,,,,0,,0,122
2020/2/18,,,,,,0,,0,111
2020/2/19,,,,,,0,,0,121
2020/2/20,,,,,,0,,0,119
2020/2/21,,,,,,0,,0,116
2020/2/22,,,,,,0,,0,123
2020/2/23,,,,,,0,,0,131
2020/2/24,,,,,,0,,0,155
2020/2/25,,,,,,0,,0,204
2020/2/26,,,,1,,0,,0,334
2020/2/27,,,,1,,0,,0.2,594
2020/2/28,,,,0,,0,,0.1,728
2020/2/29,,,,0,,0,,0.4,826
2020/3/1,,,,3,,0,,0.4,907
2020/3/2,,,,8,,0,,1.2,1036
2020/3/3,,,,10,,0,,1.9,1160
2020/3/4,,,,6,,0,,2.4,1149
2020/3/5,,,,3,,0,,3.3,982
2020/3/6,,,,11,,0,,4.6,937
2020/3/7,,,,5,,0,,5.3,883
2020/3/8,,,,3,,0,,6,834
2020/3/9,,,,5,,0,,6.6,791
2020/3/10,,,,11,,0,,7.2,834
2020/3/11,,,,14,,1,,6.3,1082
2020/3/12,,,,18,,0,,6.3,1314
2020/3/13,,,,30,,0,,6.1,1566
2020/3/14,,,,10,,1,,5.7,1722
2020/3/15,,,,17,,1,,5.7,1924
2020/3/16,,,,18,,2,,5.7,2146
2020/3/17,,,,21,,2,,6,2242
2020/3/18,,,,44,,3,,7.3,2215
2020/3/19,,,,21,29,4,,7.3,2219
2020/3/20,,,,43,43,3,62,7.8,2271
2020/3/21,,,,42,43,8,100,8.5,2434
2020/3/22,,,,44,37,6,140,9.4,2503
2020/3/23,,,,62,62,11,146,10.9,2573
2020/3/24,,,,68,60,7,169,11.8,2756
2020/3/25,,,,104,94,9,210,13.4,2909
2020/3/26,,,,119,86,9,248,15.7,3111
2020/3/27,,,,129,105,12,323,17.7,3231
2020/3/28,,,,102,130,29,361,19.3,3314
2020/3/29,,,,101,107,28,427,20.4,3425
2020/3/30,,,,164,128,32,492,22.2,3599
2020/3/31,,,,141,122,25,534,23.4,3723
2020/4/1,,,,183,112,32,610,24,3939
2020/4/2,,,,183,152,34,652,24.6,4128
2020/4/3,,,,191,123,46,709,24.7,4379
2020/4/4,,,,174,98,60,788,25,4640
2020/4/5,,,,153,130,56,839,24.8,4882
2020/4/6,,,,185,144,57,913,24,5147
2020/4/7,,,,211,152,63,921,24,5444
2020/4/8,,,,237,134,80,925,23.8,5578
2020/4/9,,,,246,121,46,951,24.3,5777
2020/4/10,,,,234,131,91,986,24.1,5969
2020/4/11,,,,172,127,74,988,22.9,6258
2020/4/12,,,,179,129,71,1037,22.8,6474
2020/4/13,,,,194,113,61,1047,22.7,6564
2020/4/14,,,,185,106,61,1076,22.2,6645
2020/4/15,,,,211,112,66,1080,21.1,6950
2020/4/16,,,,262,118,73,1052,20.4,7305
2020/4/17,,,,239,102,82,1053,19.6,7641
2020/4/18,,,,167,91,63,1024,19.5,7597
2020/4/19,,,,200,76,74,1022,19.3,7682
2020/4/20,,,,182,77,65,997,18.3,8085
2020/4/21,,,,227,89,74,981,17.7,8552
2020/4/22,,,,286,84,59,963,16.9,9356
2020/4/23,,,,281,84,61,905,15.2,10558
2020/4/24,,,,250,92,62,868,14,11451
2020/4/25,,,,200,60,54,843,13.4,11774
2020/4/26,0.05,0.035,0.07,254,51,60,823,12.4,12641
2020/4/27,,,,321,69,68,792,11.3,14899
2020/4/28,,,,276,71,54,788,9.6,18092
2020/4/29,,,,347,50,53,733,8,22620
2020/4/30,,,,245,70,58,709,6.6,26991
2020/5/1,,,,265,62,36,678,5.9,31343
2020/5/2,,,,209,68,42,658,5.6,33989
2020/5/3,,,,176,68,38,681,5.5,34763
2020/5/4,,,,165,70,45,683,5.1,34569
2020/5/5,,,,171,49,48,670,4.9,34283
2020/5/6,,,,200,58,36,614,4.7,33239
2020/5/7,,,,180,53,41,579,4.7,31963
2020/5/8,,,,178,53,26,528,4.6,30651
2020/5/9,,,,107,45,37,535,4.4,30074
2020/5/10,,,,134,41,23,520,4.1,31369
2020/5/11,,,,254,58,19,535,4,35375
2020/5/12,,,,178,38,16,501,3.8,38221
2020/5/13,,,,177,52,25,486,3.6,39702
2020/5/14,,,,94,37,18,477,3.4,40034
2020/5/15,,,,104,50,15,473,3.2,41034
2020/5/16,,,,92,53,17,443,3,43038
2020/5/17,,,,97,27,20,454,3,43536
2020/5/18,,,,119,48,13,463,2.7,42990
2020/5/19,,,,108,52,19,451,2.5,43671
2020/5/20,,,,137,55,11,438,2.3,44680
2020/5/21,,,,87,53,19,439,2.2,46313
2020/5/22,,,,82,39,18,381,2.2,46478
2020/5/23,,,,41,28,14,382,2.1,45406
2020/5/24,0.04,0.022,0.058,59,23,13,376,1.9,44987
2020/5/25,,,,61,36,19,366,1.9,42227
2020/5/26,,,,81,37,13,352,1.9,39829
2020/5/27,,,,103,35,14,320,1.8,39520
2020/5/28,,,,115,48,16,306,1.8,40878
2020/5/29,,,,75,25,12,285,1.7,43515
2020/5/30,,,,51,31,9,271,1.7,45092
2020/5/31,,,,62,23,12,267,1.7,45267
2020/6/1,,,,52,46,12,260,1.6,47784
2020/6/2,,,,52,42,7,260,1.4,50713
2020/6/3,,,,68,33,13,259,1.3,51912
2020/6/4,,,,65,16,8,247,1.2,51694
2020/6/5,,,,51,30,7,240,1.1,52073
2020/6/6,,,,24,28,5,235,1.1,52074
2020/6/7,,,,18,22,13,210,1,52563
2020/6/8,,,,23,7,5,195,0.9,53676
2020/6/9,,,,25,17,2,181,0.8,54148
2020/6/10,,,,31,23,7,169,0.7,53474
2020/6/11,,,,25,7,6,142,0.7,52230
2020/6/12,,,,19,4,6,144,0.7,49941
2020/6/13,,,,13,12,0,134,0.6,48454
