Date,adjusted_seroprevalence_Midlands,sero_lower_Midlands,sero_upper_Midlands,newDailyNsoDeathsByDeathDateEastMidlands,newCasesBySpecimenDateEastMidlands,uniqueCasePositivityBySpecimenDateRollingSumEastMidlands,uniquePeopleTestedBySpecimenDateRollingSumEastMidlands,hospitalCasesMidlands,newAdmissionsHospitalMidlands,newCasesBySpecimenDateWestMidlands,newDailyNsoDeathsByDeathDateWestMidlands,uniqueCasePositivityBySpecimenDateRollingSumWestMidlands,uniquePeopleTestedBySpecimenDateRollingSumWestMidlands
2020/1/1,,,,,,,,,,,,,
2020/1/2,,,,,,,,,,,,,
2020/1/3,,,,,,,,,,,,,
2020/1/4,,,,,,,,,,,,,
2020/1/5,,,,,,,,,,,,,
2020/1/6,,,,,,,,,,,,,
2020/1/7,,,,,,,,,,,,,
2020/1/8,,,,,,,,,,,,,
2020/1/9,,,,,,,,,,,,,
2020/1/10,,,,,,,,,,,,,
2020/1/11,,,,,,,,,,,,,
2020/1/12,,,,,,,,,,,,,
2020/1/13,,,,,,,,,,,,,
2020/1/14,,,,,,,,,,,,,
2020/1/15,,,,,,,,,,,,,
2020/1/16,,,,,,,,,,,,,
2020/1/17,,,,,,,,,,,,,
2020/1/18,,,,,,,,,,,,,
2020/1/19,,,,,,,,,,,,,
2020/1/20,,,,,,,,,,,,,
2020/1/21,,,,,,,,,,,,,
2020/1/22,,,,,,,,,,,,,
2020/1/23,,,,,,,,,,,,,
2020/1/24,,,,,,,,,,,,,
2020/1/25,,,,,,,,,,,,,
2020/1/26,,,,,,,,,,,,,
2020/1/27,,,,,,,,,,,,,
2020/1/28,,,,,,,,,,,,,
2020/1/29,,,,,,,,,,,,,
2020/1/30,,,,0,,,,,,,0,,
2020/1/31,,,,0,,,,,,,0,,
2020/2/1,,,,0,,,,,,,0,,
2020/2/2,,,,0,,,,,,,0,,
2020/2/3,,,,0,,,,,,,0,,
2020/2/4,,,,0,,,,,,,0,,
2020/2/5,,,,0,,,,,,,0,,
2020/2/6,,,,0,,,,,,,0,,
2020/2/7,,,,0,,,,,,,0,,
2020/2/8,,,,0,,0,16,,,,0,0,39
2020/2/9,,,,0,,0,18,,,,0,0,42
2020/2/10,,,,0,,0,29,,,,0,0,58
2020/2/11,,,,0,,0,41,,,,0,0,79
2020/2/12,,,,0,,0,50,,,,0,0,110
2020/2/13,,,,0,,0,66,,,,0,0,147
2020/2/14,,,,0,,0,82,,,,0,0,198
2020/2/15,,,,0,,0,97,,,,0,0,202
2020/2/16,,,,0,,0,100,,,,0,0,192
2020/2/17,,,,0,,0,96,,,,0,0,181
2020/2/18,,,,0,,0,90,,,,0,0,153
2020/2/19,,,,0,,0,86,,,,0,0,126
2020/2/20,,,,0,,0,67,,,,0,0,72
2020/2/21,,,,0,1,1.9,53,,,,0,0,53
2020/2/22,,,,0,0,2,50,,,,0,0,48
2020/2/23,,,,0,0,2,50,,,,0,2.2,46
2020/2/24,,,,0,0,1.9,52,,,,0,1.7,60
2020/2/25,,,,0,1,3.9,51,,,,0,1.1,94
2020/2/26,,,,0,0,3.3,60,,,,0,0.7,136
2020/2/27,,,,0,0,3.7,81,,,,0,0.6,163
2020/2/28,,,,0,1,2.1,97,,,,0,0.5,185
2020/2/29,,,,0,1,1.5,137,,,,0,0.5,200
2020/3/1,,,,0,1,1.3,150,,,2,0,0.9,222
2020/3/2,,,,0,2,1.7,177,,,4,0,2.2,267
2020/3/3,,,,0,7,4,251,,,1,0,2.3,305
2020/3/4,,,,0,2,3.9,307,,,3,0,2.4,329
2020/3/5,,,,0,3,4.1,314,,,6,0,3.9,358
2020/3/6,,,,0,7,5.7,333,,,2,0,4,403
2020/3/7,,,,0,5,6.9,333,,,6,0,4.8,455
2020/3/8,,,,0,1,6.9,360,,,4,1,4.7,508
2020/3/9,,,,0,10,8.5,398,,,8,1,4.7,550
2020/3/10,,,,0,12,7.9,443,,,17,1,5.7,680
2020/3/11,,,,1,25,8.1,530,,,29,1,6.7,899
2020/3/12,,,,1,17,9,645,,,47,4,7.7,1235
2020/3/13,,,,1,22,9.1,782,,,39,2,8.7,1513
2020/3/14,,,,0,19,8.1,893,,,31,2,9.1,1712
2020/3/15,,,,0,26,8.4,992,,,44,4,9.5,1940
2020/3/16,,,,4,34,7.9,1226,,,56,8,10,2254
2020/3/17,,,,1,33,8.5,1498,,,69,8,11.5,2473
2020/3/18,,,,4,48,9.1,1805,,,99,9,13.5,2646
2020/3/19,,,,3,66,9.6,2075,,96,123,8,15.5,2824
2020/3/20,,,,6,53,10.6,2321,218,164,152,19,18.4,2997
2020/3/21,,,,4,69,11.7,2523,279,151,125,17,20.4,3154
2020/3/22,,,,12,99,12.3,2898,382,192,111,23,20.7,3610
2020/3/23,,,,10,117,14.2,3099,438,208,239,29,24.4,3819
2020/3/24,,,,17,135,16.1,3212,584,329,250,30,27.7,3980
2020/3/25,,,,12,116,18.9,3269,691,422,240,45,30,4144
2020/3/26,,,,18,156,21.4,3382,970,356,314,55,34,4210
2020/3/27,,,,24,137,22.9,3492,1064,404,279,59,36,4316
2020/3/28,,,,29,156,25.4,3321,1138,350,323,76,40.2,4260
2020/3/29,,,,27,128,26.7,3371,1330,481,365,77,44.2,4457
2020/3/30,,,,27,206,28.3,3495,1833,581,431,87,46.3,4713
2020/3/31,,,,44,276,29.9,3739,1952,594,415,114,47.8,4868
2020/4/1,,,,50,300,31.1,3902,2192,776,409,131,48.9,5128
2020/4/2,,,,55,212,31.9,4133,1851,582,449,137,49.2,5403
2020/4/3,,,,62,254,33.5,4348,2682,451,373,102,49.4,5578
2020/4/4,,,,74,189,34.2,4462,2925,559,345,127,50.1,5520
2020/4/5,0.021,0.012,0.04,81,149,34.2,4636,3091,489,290,135,49.6,5421
2020/4/6,,,,82,212,35,4739,3250,439,360,115,48.9,5370
2020/4/7,,,,62,228,34.8,4744,3328,532,383,112,48.3,5377
2020/4/8,,,,81,187,34,4697,3315,536,362,162,47.4,5385
2020/4/9,,,,89,233,33.2,4708,3271,374,345,128,46.1,5370
2020/4/10,,,,78,172,32.5,4588,3414,379,362,133,45.3,5448
2020/4/11,,,,86,174,32,4617,3396,335,251,146,43.4,5512
2020/4/12,,,,92,215,31.1,4820,3430,303,239,138,41.6,5676
2020/4/13,,,,74,171,29.8,4617,3316,333,280,119,39.4,5758
2020/4/14,,,,88,210,29,4605,3345,359,322,117,37.2,5968
2020/4/15,,,,81,218,28.2,4705,3101,242,387,133,35.2,6333
2020/4/16,,,,64,267,27.5,4826,3095,283,510,131,33.9,6900
2020/4/17,,,,87,257,27.2,5160,2815,291,446,141,32.2,7492
2020/4/18,,,,73,195,26.2,5265,2894,229,549,123,31.8,8240
2020/4/19,,,,80,247,26.2,5403,2883,281,340,107,30.8,8613
2020/4/20,,,,81,187,25.9,5591,2843,280,404,106,30.5,9073
2020/4/21,,,,59,221,24.9,5774,2845,259,493,112,29.3,9916
2020/4/22,,,,59,334,23.9,6507,2755,218,579,99,27.8,11236
2020/4/23,,,,72,270,22.5,7052,2722,221,551,112,26.4,12148
2020/4/24,,,,63,298,21.4,7433,2558,204,482,85,25.3,12836
2020/4/25,,,,57,245,20.7,7712,2368,187,386,92,23.9,12941
2020/4/26,0.064,0.055,0.092,63,244,19.1,7860,2549,210,316,107,22.4,13616
2020/4/27,,,,64,319,17,9676,2542,206,419,84,19.5,15811
2020/4/28,,,,65,272,15.4,11200,2435,220,375,66,17.1,17684
